題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
446,暑期練習7/27,有關省水標章的描述，以下何者不正確？,標章中的箭頭向上，代表將中心的水滴接起，強調回收再利用,右邊的三條水帶代表著愛水、節水、親水，鼓勵民眾愛護水資源,省水標章只有藍色一種顏色，若看到金色的標章代表是偽造的標章,貼有省水標章的器材與一般傳統器材相比，表示可以節省一半以上的用水量,(C) 省水標章只有藍色一種顏色，若看到金色的標章代表是偽造的標章,"【正確解析】經濟部水利署推行的省水標章制度分為兩級：「普級省水標章」（藍色水滴）與「金級省水標章」（金色水滴）。金級標章代表比普級具備更高標準的節水效率與品質，因此金色標章是最高等級的官方正版標章，絕非偽造，故選項C錯誤。
【其他選項解析】標章圖案中向上箭頭象徵回收利用、三條藍色水帶代表「愛水、親水、節水」，且標章器材具優異節水效果。"
447,暑期練習7/27,聯合國提書SDGs永續發展目標，請問目標6是什麼？,經濟適用的潔淨能源,保育及維護海洋資源,氣候行動,清潔飲水和衛生設施,(D) 清潔飲水和衛生設施,"【正確解析】聯合國2030永續發展目標（SDGs）共有17項目標：
• SDG 6 為「清潔飲水和衛生設施」（Clean Water and Sanitation，確保所有人享有水及衛生及其永續管理）。
【其他選項解析】
• SDG 7：可負擔的潔淨能源（經濟適用的潔淨能源）。
• SDG 13：氣候行動。
• SDG 14：保育海洋生態（保育及維護海洋資源）。"
448,暑期練習7/27,針對河川污染問題，以下哪一項做法最符合永續發展的整治策略？,倒入消毒水殺菌,以用水泥鋪設保護堤岸,拔除水中植物淨化水質,建設人工濕地進行自然淨化,(D) 建設人工濕地進行自然淨化,"【正確解析】人工濕地（Constructed Wetland）是典型的「以自然為本的解決方案」（Nature-based Solutions, NbS）。利用水生植物吸收、基質過濾吸附以及微生物的生物降解等多重自然機制去除污水中的有機物與氮磷營養鹽，兼具水質淨化、生態棲地營造與景觀綠化功能，符合永續整治策略。
【其他選項解析】倒入消毒水會毒殺河川生態系；水泥三面光工程破壞生態棲地與自淨能力；拔除水生植物削弱水體自然淨化功能。"
449,暑期練習7/27,以下哪一項不是「看不見的多樣性」影片中提到的保育行動？,種回小米，找回泰雅族族民的傳統農耕方式。,培養對珊瑚有幫助的好菌，幫助珊瑚健康。,一地多用，在魚塭養殖廠設置太陽能發電。,利用山林裡的微生物菌種來種菜和養雞。,(C) 一地多用，在魚塭養殖廠設置太陽能發電。,"【正確解析】環境部環境教育微電影《看不見的多樣性》聚焦於「微生物多樣性」的生態價值與保育應用，介紹了泰雅族復育傳統小米農耕、科學家篩選益生菌保護珊瑚抗白化、以及利用林下原生微生物發酵飼料養雞種菜。「在魚塭設置太陽能光電（漁電共生）」雖屬綠能政策，但非該影片介紹的微生物保育行動。
【其他選項解析】復育小米、篩選珊瑚共生好菌、利用山林微菌種種菜養雞皆為影片中介紹之具體案例。"
450,暑期練習7/27,臺灣的飲用水主要來源為何？,回收水,海水淡化,跟別國購買,河川,(D) 河川,"【正確解析】臺灣本島自來水供水系統的水源主要依賴「地面水」（河川水系），包含直接由河川攔河堰取水以及由河川攔蓄形成的水庫水，兩者佔全臺民生與飲用水供水總量七成以上（其餘為地下水與伏流水）。
【其他選項解析】海水淡化主要作為離島及乾旱備援；臺灣未向國外買水；再生回收水主要供應工業冷卻與次級用水。"
451,暑期練習7/30,有關黑面琵鷺的敘述，下列哪個選項是「錯誤」的？,黑面琵鷺瀕臨絕種，屬於世界級保育類動物,黑面琵鷺是候鳥，他們每年會跨越許多國家到臺灣過冬,目前為了黑面琵鷺，我們必須保護臺南七股濕地，不宜開發為工業用地,為保育黑面琵鷺，我們應將他們關在動物園，方便加以照顧使其數量增加,(D) 為保育黑面琵鷺，我們應將他們關在動物園，方便加以照顧使其數量增加,"【正確解析】野生動物保育的首要核心原則為「就地保育」（In-situ Conservation），即保護其天然棲息地與遷徙廊道。黑面琵鷺為長途遷徙性候鳥，將其捕捉關進動物園圈養會剝奪其遷徙習性、覓食與繁衍本能，非正確且健康的保育手段，故選項D錯誤。
【其他選項解析】黑面琵鷺為瀕危世界級保育鳥類；每年秋冬由朝鮮半島等繁殖地南遷臺灣；保護七股與曾文溪口濕地是保育其族群的關鍵作為。"
452,暑期練習7/30,目前臺灣「能源」供給以下列何者為最主要的？,煤,石油,核能,液化天然氣,(B) 石油,"【正確解析】依據經濟部能源署能源統計年報，在臺灣整體的「初級能源總供給」（Primary Energy Supply）結構中，「石油」佔比始終居於首位（約佔40%~44%），廣泛應用於交通運輸燃料、石化工業原料及發電等領域。（注意：若題目問「發電量結構」，燃煤與燃氣佔比較高；若問「整體能源總供給」，則以石油佔比最高）。
【其他選項解析】煤炭、天然氣次於石油；核能佔比已大幅降低。"
453,暑期練習7/30,全球可劃分為熱帶、溫帶、寒帶三個氣候帶。劃分此三個氣候帶的指標為哪兩條緯線？,本初經線、赤道,赤道、回歸線,回歸線、極圈,國際換日線、赤道,(C) 回歸線、極圈,"【正確解析】地球由於地軸傾斜23.5度繞太陽公轉，形成太陽直射範圍與晝夜長短變化：
• 南北回歸線（23.5°N / 23.5°S）之間：為「熱帶」（有太陽直射現象）。
• 回歸線至南北極圈（66.5°N / 66.5°S）之間：為「溫帶」（無直射亦無永晝永夜）。
• 南北極圈至極點（90°N / 90°S）之間：為「寒帶」（有永晝永夜現象）。
因此劃分指標緯線為「回歸線」與「極圈」。"
454,暑期練習7/30,地球平均氣溫愈來愈高，一般認為的主因為下列何者？,火山活動增加,人為二氧化碳的排放量增加,太陽輻射,空氣中帶有硫酸及硝酸成分,(B) 人為二氧化碳的排放量增加,"【正確解析】聯合國政府間氣候變化專門委員會（IPCC）科學評估報告確立：近代全球平均氣溫急遽上升的主因，是人類自工業革命以來大量燃燒化石燃料（煤、石油、天然氣）及土地利用改變，釋放龐大的「二氧化碳」（CO2）等溫室氣體，大幅增強大氣溫室效應所致。
【其他選項解析】火山活動與自然太陽週期變化無法解釋百年來的劇烈升溫；硫酸與硝酸主要引發酸雨。"
455,暑期練習7/30,下列有關登革熱的敘述何者「錯誤」？,主要是經由蚊子叮吮而感染,應在住屋加裝紗窗、紗門,家中積水容器可不用清理,會有發燒的症狀,(C) 家中積水容器可不用清理,"【正確解析】登革熱是由埃及斑蚊或白線斑蚊傳播的急性病毒性傳染病。病媒蚊幼蟲（孑孓）在乾淨的積水容器內孳生，防治登革熱最根本有效的措施就是「巡、倒、清、刷」，落實清理所有室內外積水容器，因此「不用清理」完全錯誤。
【其他選項解析】經由病媒蚊叮咬傳播、加裝紗窗紗門阻隔蚊蟲、發燒頭痛肌肉關節痛皆為正確的防治與臨床知識。"
456,暑期練習7/30,全臺第一座太陽能高鐵車站為何？,臺中站,左營站,苗栗站,臺北站,(C) 苗栗站,"【正確解析】高鐵「苗栗站」是全臺第一座獲得鑽石級綠建築標章的太陽能高鐵車站。該站建築屋頂鋪設大面積太陽能光電板發電自用，並結合自然採光天窗、通風廊道、雨水回收與在地綠建材，是兼具節能減碳與環境永續的現代化綠建築車站。
【其他選項解析】臺中站、左營站、臺北站建置年代較早，首座以全太陽能整合設計獲鑽石級認證之高鐵站為苗栗站。"
457,暑期練習7/30,金門民宅興建朝同一方向並坐落於前低後高的基地上，形成什麼建築布局?,一條龍,三合院,四合院,梳式,(D) 梳式,"【正確解析】金門傳統閩南聚落常順應地勢依山就勢興建，房舍整齊朝向同一方位，坐落於前低後高的斜坡上，前後進退有序、棟距通暢，宛如梳子的梳齒般整齊排列，這種特殊的聚落空間配置形式稱為「梳式布局」（梳式聚落），有利於通風、防強風、排水、日照及防禦防盜。
【其他選項解析】一條龍、三合院、四合院指單一宅院的建築格局型態，整齊順坡排列之聚落空間結構稱為「梳式」。"
458,暑期練習7/30,有關生物分類系統描述，下列哪個選項是「錯誤」的？,以7個階層分類,分類階層越高種類越多,越低階的種類越少，但越相近,外表相似即代表物種相近,(D) 外表相似即代表物種相近,"【正確解析】外表型態相似不代表親緣關係相近。在演化生物學中，不同來源的生物為了適應相似的生態環境，常會演化出外觀或功能相似的器官（稱為「同功器官」與「趨同演化 Convergent Evolution」，例如鯊魚與海豚、鳥類與蝙蝠）。現代生物分類主要依據胚胎發育、解剖同源結構及分子DNA親緣關係進行判斷，故選項D錯誤。
【其他選項解析】林奈分類系統包含「界、門、綱、目、科、屬、種」7個階層；階層越高包含種類越多；階層越低物種間親緣關係越近。"
459,暑期練習7/30,國內受太平洋高壓影響，全臺天氣炎熱，當氣溫達38°C以上且持續3日以上，中央氣象局高溫資訊所顯示燈號為？,綠,黃,橙,紅,(D) 紅,"【正確解析】中央氣象署（原氣象局）高溫資訊燈號標準如下：
• 黃燈：單日最高氣溫達 36°C 以上。
• 橙燈：最高氣溫達 36°C 以上且持續 3 日以上，或單日最高氣溫達 38°C 以上。
• 紅燈：最高氣溫達 38°C 以上且持續 3 日以上（極端高溫警戒）。
因此達38°C以上且持續3日以上為「紅燈」。"
460,暑期練習7/30,目前世界衛生組織中所定義的「細懸浮微粒」，係指空氣中的哪一項污染物？,PM1.0,PM2.5,PM10,TSP,(B) PM2.5,"【正確解析】世界衛生組織（WHO）與我國環境部標準定義：
• 「懸浮微粒」（PM10）：粒徑在10微米（µm）以下之粒狀污染物。
• 「細懸浮微粒」（PM2.5）：粒徑在2.5微米（µm）以下之粒狀污染物。
【其他選項解析】PM1.0為超細微粒；TSP為總懸浮微粒（Total Suspended Particulates）。"
461,暑期練習7/30,道路交通管理處罰條例第44條明定，6月30日起，駕駛人行近行人穿越道或其他依法可供行人穿越之交岔路，不暫停讓行人先行通過最高罰6000元。請問執法標準以「車頭距離斑馬線上行人不足多少公尺開罰」為原則?,4,3,2,1,(B) 3,"【正確解析】依據內政部警政署與交通部公布之不停讓行人執法取締標準：汽車行近行人穿越道，車輛前端（車頭）已進入行人穿越道，且距離斑馬線上行人行進方向在「3公尺以內」（約一個車道寬或3條枕木紋距離）者，即構成違規開罰標準，最高可處新臺幣6,000元罰鍰。"
